"x","y","floor"
8.25,43.5,5
8.25,42,5
8.25,40.5,5
8.25,39,5
8.25,37.5,5
8.25,36,5
8.25,34.5,5
8.25,33,5
8.25,31.5,5
8.25,30,5
8.25,28.5,5
8.25,27,5
8.25,25.5,5
8.25,24,5
8.25,22.5,5
8.25,21,5
8.25,19.5,5
8.25,18,5
8.25,16.5,5
8.25,15,5
8.25,13.5,5
9.75,34.5,5
9.75,33,5
9.75,31.5,5
9.75,30,5
9.75,27,5
9.75,25.5,5
9.75,24,5
9.75,22.5,5
11.25,34.5,5
11.25,33,5
11.25,22.5,5
12.75,34.5,5
12.75,33,5
12.75,22.5,5
14.25,34.5,5
14.25,33,5
14.25,22.5,5
15.75,34.5,5
15.75,33,5
15.75,22.5,5
17.25,34.5,5
17.25,33,5
17.25,31.5,5
17.25,30,5
17.25,28.5,5
17.25,27,5
17.25,25.5,5
17.25,24,5
17.25,22.5,5
18.75,34.5,5
18.75,33,5
18.75,22.5,5
20.25,34.5,5
20.25,33,5
20.25,22.5,5
21.75,34.5,5
21.75,33,5
21.75,31.5,5
21.75,30,5
21.75,28.5,5
21.75,27,5
21.75,25.5,5
21.75,24,5
21.75,22.5,5
21.75,21,5
21.75,19.5,5
21.75,18,5
21.75,16.5,5
21.75,15,5
23.25,34.5,5
23.25,33,5
23.25,31.5,5
23.25,30,5
23.25,28.5,5
23.25,27,5
23.25,25.5,5
23.25,24,5
23.25,22.5,5
23.25,21,5
23.25,19.5,5
23.25,18,5
23.25,16.5,5
23.25,15,5
24.75,34.5,5
24.75,22.5,5
24.75,15,5
26.25,34.5,5
26.25,22.5,5
26.25,15,5
27.75,34.5,5
27.75,22.5,5
29.25,22.5,5
30.75,34.5,5
30.75,22.5,5
32.25,34.5,5
32.25,22.5,5
33.75,34.5,5
33.75,33,5
33.75,31.5,5
33.75,30,5
33.75,28.5,5
33.75,27,5
33.75,25.5,5
33.75,24,5
33.75,22.5,5
33.75,21,5
-1.5,68.25,0
-1.5,66.75,0
-1.5,65.25,0
-1.5,63.75,0
-1.5,62.25,0
-1.5,60.75,0
-1.5,59.25,0
-1.5,57.75,0
-1.5,56.25,0
-1.5,54.75,0
-1.5,53.25,0
-1.5,51.75,0
-1.5,42.75,0
-1.5,41.25,0
-1.5,39.75,0
-1.5,38.25,0
-1.5,36.75,0
-1.5,35.25,0
-1.5,33.75,0
-1.5,32.25,0
-1.5,30.75,0
-1.5,29.25,0
-1.5,27.75,0
-1.5,26.25,0
-1.5,20.25,0
-1.5,18.75,0
-1.5,17.25,0
-1.5,15.75,0
-1.5,14.25,0
-1.5,12.75,0
-1.5,11.25,0
-1.5,9.75,0
-1.5,8.25,0
-1.5,6.75,0
-1.5,5.25,0
-1.5,3.75,0
-1.5,2.25,0
-1.5,0.75,0
-1.5,-0.75,0
0,68.25,0
0,51.75,0
0,42.75,0
0,-0.75,0
1.5,68.25,0
1.5,65.25,0
1.5,51.75,0
1.5,42.75,0
1.5,-0.75,0
3,68.25,0
3,66,0
3,64.5,0
3,51.75,0
3,42.75,0
3,-0.75,0
4.5,68.25,0
4.5,66,0
4.5,64.5,0
4.5,51.75,0
4.5,42.75,0
4.5,8.25,0
4.5,0.75,0
6,68.25,0
